customer_id,date,staff_member,what_happened,outcome
C0123,2025-10-29,מאיה,סיפר/ה על שינוי בעבודה / מעבר דירה,שלחנו לה תפריט במייל
C0029,2025-10-29,ליאל,סיפר/ה על שינוי בעבודה / מעבר דירה,שלחנו לה תפריט במייל
C0095,2025-11-01,שני,התלונן/ה על הרעש משולחן ליד,לא חזרה
C0132,2025-11-02,ליאל,ביקש/ה תפריט טבעוני נפרד,לא נדרש פעולה
C0118,2025-11-04,יואב,ביקש/ה תפריט טבעוני נפרד,לא חזרה
C0029,2025-11-08,עומר,ביקש/ה לחגוג יום הולדת במקום,תוקן
C0151,2025-11-10,שני,שאל/ה אם יש אפשרות לחלב שקדים בעוגות,לא חזרה
C0003,2025-11-17,אביץ,הביא/ה תינוק חדש להראות,הזמנה תועדה ביומן
C0139,2025-11-23,טל המנהל,התעניינ/ה אם אפשר לקנות פולים לבית,לא חזרה
C0087,2025-12-05,אביץ,הביא/ה תינוק חדש להראות,תועד למפגש צוות
C0007,2025-12-06,ליאל,ביקש/ה לחגוג יום הולדת במקום,סגרנו אירוע
C0043,2025-12-06,אביץ,התלונן/ה שהאינטרנט נפל באמצע זום,טופל - הוזז שולחן
C0157,2025-12-14,יואב,סיפר/ה על שינוי בעבודה / מעבר דירה,סגרנו אירוע
C0004,2025-12-15,מאיה,סיפר/ה שהמליצ/ה לחברים מהעבודה,הזמנה תועדה ביומן
C0133,2025-12-19,אביץ,התלהב/ה ממוזיקת הרקע ושאל/ה מה הפלייליסט,שלחנו לה תפריט במייל
C0082,2025-12-23,אביץ,הביא/ה ידיד חדש להכיר את המקום,תוקן
C0176,2025-12-25,עומר,סיפר/ה שעבר/ה לעבוד מהבית וזה הופך לבית שני,תוקן
C0108,2025-12-26,עומר,ביקש/ה את המתכון של עוגת הגזר,עדיין בבירור
C0053,2025-12-31,אביץ,הביא/ה ידיד חדש להכיר את המקום,לא נדרש פעולה
