transaction_id,datetime,item,category,qty,unit_price_ils,total_ils,payment_method,card_brand,employee,tip_ils,customer_id,order_type
SQ-20260025,2026-01-14 07:22:00,Salad Bowl,Salad,1,48.00,48.00,Bit,,Yael,5.76,CUST-1121,Dine-in
SQ-20260026,2026-01-14 20:51:00,Caesar Salad,Salad,1,46.00,46.00,Bit,,Ruby,0.00,,Dine-in
SQ-20260027,2026-01-15 09:50:00,Beer (Tap),Drink,1,28.00,28.00,Cash,,Tomer,0.00,CUST-1055,Takeaway
SQ-20260028,2026-01-15 22:55:00,Americano,Coffee,3,14.00,42.00,Cash,,Yael,0.00,,Takeaway
SQ-20260029,2026-01-16 11:22:00,Croissant Plain,Pastry,2,14.00,28.00,Cash,,Yael,0.00,CUST-1098,Takeaway
SQ-20260030,2026-01-17 00:21:00,Macchiato,Coffee,3,14.00,42.00,Cash,,Tomer,0.00,,Takeaway
SQ-20260031,2026-01-17 13:43:00,Water Bottle,Drink,1,8.00,8.00,Credit Card,Visa,Tomer,0.00,,Dine-in
SQ-20260032,2026-01-18 02:02:00,Hafuch,Coffee,2,16.00,32.00,Bit,,Tomer,0.00,,Takeaway
SQ-20260033,2026-01-18 15:07:00,Cookie,Pastry,3,10.00,30.00,Cash,,Tomer,0.00,CUST-1223,Dine-in
SQ-20260034,2026-01-19 04:33:00,Beer (Tap),Drink,2,28.00,56.00,Cash,,Tomer,0.00,,Dine-in
SQ-20260035,2026-01-19 17:39:00,Croissant Chocolate,Pastry,2,16.00,32.00,Credit Card,Amex,Tomer,3.20,,Takeaway
SQ-20260036,2026-01-20 06:20:00,Cookie,Pastry,2,10.00,20.00,Apple Pay,,Yael,0.00,,Takeaway
SQ-20260037,2026-01-20 19:43:00,Veggie Wrap,Sandwich,3,36.00,108.00,Google Pay,,Yael,0.00,,Dine-in
SQ-20260038,2026-01-21 08:19:00,Croissant Plain,Pastry,1,14.00,14.00,Google Pay,,Yael,1.68,,Takeaway
SQ-20260039,2026-01-21 21:28:00,Cheese Sandwich,Sandwich,1,32.00,32.00,Bit,,Tomer,0.00,,Dine-in
SQ-20260040,2026-01-22 10:32:00,Cheese Sandwich,Sandwich,2,32.00,64.00,Bit,,Ruby,0.00,,Dine-in
SQ-20260041,2026-01-22 23:51:00,Cold Brew,Coffee,1,20.00,20.00,Credit Card,Visa,Shira,2.00,,Dine-in
SQ-20260042,2026-01-23 12:29:00,Muffin Blueberry,Pastry,3,14.00,42.00,Google Pay,,Yael,5.04,,Takeaway
SQ-20260043,2026-01-24 01:25:00,Iced Latte,Coffee,1,20.00,20.00,Credit Card,Visa,Shira,0.00,CUST-1265,Takeaway
SQ-20260044,2026-01-24 14:03:00,Avocado Toast,Breakfast,1,42.00,42.00,Credit Card,Mastercard,Yael,2.10,,Takeaway
SQ-20260045,2026-01-25 03:38:00,Croissant Chocolate,Pastry,3,16.00,48.00,Bit,,Yael,5.76,,Takeaway
SQ-20260046,2026-01-25 16:53:00,Beer (Tap),Drink,1,28.00,28.00,Credit Card,Amex,Shira,1.40,,Dine-in
SQ-20260047,2026-01-26 05:53:00,Tuna Sandwich,Sandwich,1,36.00,36.00,Apple Pay,,Shira,4.32,,Takeaway
SQ-20260048,2026-01-26 18:04:00,Halloumi Sandwich,Sandwich,1,38.00,38.00,Cash,,Tomer,0.00,,Takeaway
SQ-20260049,2026-01-27 07:05:00,Latte,Coffee,1,18.00,18.00,Bit,,Tomer,0.00,,Dine-in
SQ-20260050,2026-01-27 20:26:00,Muffin Blueberry,Pastry,1,14.00,14.00,Bit,,Shira,0.00,,Takeaway
SQ-20260051,2026-01-28 09:24:00,Lemonade,Drink,2,14.00,28.00,Credit Card,Isracard,Shira,1.40,CUST-1180,Dine-in
SQ-20260052,2026-01-28 22:48:00,Cookie,Pastry,2,10.00,20.00,Bit,,Yael,2.40,,Takeaway
SQ-20260053,2026-01-29 11:57:00,Iced Latte,Coffee,1,20.00,20.00,Cash,,Shira,0.00,,Takeaway
SQ-20260054,2026-01-30 00:21:00,Cheese Sandwich,Sandwich,2,32.00,64.00,Bit,,Tomer,0.00,,Dine-in
SQ-20260055,2026-01-30 13:39:00,Avocado Toast,Breakfast,1,42.00,42.00,Bit,,Yael,4.20,,Dine-in
SQ-20260056,2026-01-31 02:41:00,Muffin Blueberry,Pastry,1,14.00,14.00,Bit,,Yael,0.00,,Dine-in
SQ-20260057,2026-01-01 15:13:00,Banana Bread,Pastry,1,18.00,18.00,Bit,,Tomer,0.90,,Dine-in
SQ-20260058,2026-01-02 04:30:00,Espresso,Coffee,2,12.00,24.00,Credit Card,Mastercard,Yael,2.88,CUST-1333,Dine-in
SQ-20260059,2026-01-02 17:48:00,Espresso,Coffee,3,12.00,36.00,Cash,,Ruby,0.00,,Dine-in
SQ-20260060,2026-01-03 06:08:00,Israeli Breakfast,Breakfast,2,68.00,136.00,Google Pay,,Yael,6.80,,Dine-in
SQ-20260061,2026-01-03 19:10:00,Yogurt Parfait,Breakfast,2,32.00,64.00,Credit Card,Visa,Tomer,0.00,,Dine-in
SQ-20260062,2026-01-04 08:36:00,Cheese Sandwich,Sandwich,3,32.00,96.00,Bit,,Shira,11.52,,Takeaway
SQ-20260063,2026-01-04 21:44:00,Water Bottle,Drink,2,8.00,16.00,Credit Card,Amex,Tomer,1.92,,Dine-in
SQ-20260064,2026-01-05 10:50:00,Granola Bowl,Breakfast,2,38.00,76.00,Bit,,Yael,3.80,,Dine-in
SQ-20260065,2026-01-05 23:32:00,Tuna Sandwich,Sandwich,1,36.00,36.00,Bit,,Shira,0.00,,Dine-in
SQ-20260066,2026-01-06 12:40:00,Lemonade,Drink,2,14.00,28.00,Credit Card,Mastercard,Yael,3.36,,Dine-in
SQ-20260067,2026-01-07 01:39:00,Caesar Salad,Salad,3,46.00,138.00,Bit,,Shira,6.90,,Takeaway
SQ-20260068,2026-01-07 14:17:00,Croissant Chocolate,Pastry,2,16.00,32.00,Credit Card,Mastercard,Shira,0.00,,Takeaway
SQ-20260069,2026-01-08 03:39:00,Cheese Sandwich,Sandwich,1,32.00,32.00,Credit Card,Mastercard,Tomer,0.00,,Dine-in
SQ-20260070,2026-01-08 16:51:00,Macchiato,Coffee,1,14.00,14.00,Google Pay,,Tomer,0.00,,Takeaway
SQ-20260071,2026-01-09 06:00:00,Cold Brew,Coffee,1,20.00,20.00,Bit,,Shira,2.00,,Takeaway
SQ-20260072,2026-01-09 18:41:00,Halloumi Sandwich,Sandwich,1,38.00,38.00,Credit Card,Visa,Tomer,0.00,,Dine-in
SQ-20260073,2026-01-10 07:19:00,Cheese Sandwich,Sandwich,2,32.00,64.00,Bit,,Yael,6.40,,Takeaway
SQ-20260074,2026-01-10 20:21:00,Scone,Pastry,2,12.00,24.00,Cash,,Tomer,0.00,,Dine-in
SQ-20260075,2026-01-11 09:46:00,Cold Brew,Coffee,1,20.00,20.00,Apple Pay,,Tomer,0.00,,Takeaway
SQ-20260076,2026-01-11 22:17:00,Veggie Wrap,Sandwich,2,36.00,72.00,Apple Pay,,Yael,0.00,,Dine-in
SQ-20260077,2026-01-12 11:18:00,Iced Latte,Coffee,1,20.00,20.00,Cash,,Ruby,0.00,,Dine-in
SQ-20260078,2026-01-13 00:17:00,Americano,Coffee,3,14.00,42.00,Apple Pay,,Tomer,5.04,,Takeaway
SQ-20260079,2026-01-13 13:06:00,Fresh OJ,Drink,1,18.00,18.00,Cash,,Shira,0.00,,Dine-in
SQ-20260080,2026-01-14 02:11:00,Americano,Coffee,1,14.00,14.00,Bit,,Ruby,0.00,,Dine-in
SQ-20260081,2026-01-14 15:36:00,Tuna Sandwich,Sandwich,2,36.00,72.00,Credit Card,Visa,Yael,0.00,CUST-1127,Dine-in
SQ-20260082,2026-01-15 04:35:00,Salad Bowl,Salad,1,48.00,48.00,Google Pay,,Yael,0.00,,Takeaway
SQ-20260083,2026-01-15 17:28:00,Beer (Tap),Drink,1,28.00,28.00,Google Pay,,Shira,0.00,,Dine-in
SQ-20260084,2026-01-16 06:39:00,Veggie Wrap,Sandwich,1,36.00,36.00,Cash,,Tomer,0.00,,Dine-in
SQ-20260085,2026-01-16 19:10:00,Iced Latte,Coffee,1,20.00,20.00,Credit Card,Visa,Ruby,1.00,,Takeaway
SQ-20260086,2026-01-17 08:30:00,Croissant Plain,Pastry,1,14.00,14.00,Cash,,Tomer,0.00,,Takeaway
SQ-20260087,2026-01-17 21:04:00,Cheese Sandwich,Sandwich,1,32.00,32.00,Cash,,Tomer,0.00,,Dine-in
SQ-20260088,2026-01-18 10:27:00,Hafuch,Coffee,1,16.00,16.00,Credit Card,Mastercard,Yael,0.00,CUST-1157,Takeaway
SQ-20260089,2026-01-18 23:47:00,Water Bottle,Drink,1,8.00,8.00,Cash,,Shira,0.00,CUST-1155,Takeaway
SQ-20260090,2026-01-19 13:00:00,Macchiato,Coffee,1,14.00,14.00,Bit,,Shira,0.00,,Takeaway
SQ-20260091,2026-01-20 01:47:00,Croissant Chocolate,Pastry,2,16.00,32.00,Credit Card,Visa,Yael,3.84,,Takeaway
SQ-20260092,2026-01-20 14:37:00,Espresso,Coffee,3,12.00,36.00,Cash,,Yael,0.00,CUST-1089,Takeaway
SQ-20260093,2026-01-21 03:33:00,Tuna Sandwich,Sandwich,1,36.00,36.00,Cash,,Yael,0.00,,Takeaway
SQ-20260094,2026-01-21 16:40:00,Water Bottle,Drink,1,8.00,8.00,Credit Card,Mastercard,Tomer,0.40,,Dine-in
SQ-20260095,2026-01-22 05:54:00,Flat White,Coffee,1,18.00,18.00,Bit,,Tomer,2.16,,Takeaway
SQ-20260096,2026-01-22 18:02:00,Banana Bread,Pastry,1,18.00,18.00,Cash,,Tomer,0.00,CUST-1206,Takeaway
SQ-20260097,2026-01-23 07:52:00,Espresso,Coffee,2,12.00,24.00,Apple Pay,,Shira,1.20,CUST-1265,Dine-in
SQ-20260098,2026-01-23 20:39:00,Salad Bowl,Salad,1,48.00,48.00,Bit,,Ruby,0.00,,Dine-in
SQ-20260099,2026-01-24 09:59:00,Croissant Plain,Pastry,1,14.00,14.00,Bit,,Ruby,0.00,,Takeaway
SQ-20260100,2026-01-24 22:51:00,Iced Latte,Coffee,2,20.00,40.00,Cash,,Yael,0.00,CUST-1208,Dine-in
SQ-20260101,2026-01-25 11:14:00,Water Bottle,Drink,3,8.00,24.00,Bit,,Ruby,2.88,,Takeaway
SQ-20260102,2026-01-26 00:59:00,Halloumi Sandwich,Sandwich,1,38.00,38.00,Cash,,Shira,0.00,,Takeaway
SQ-20260103,2026-01-26 13:15:00,Banana Bread,Pastry,1,18.00,18.00,Bit,,Yael,1.80,,Dine-in
SQ-20260104,2026-01-27 02:55:00,Cappuccino,Coffee,1,16.00,16.00,Bit,,Tomer,1.60,,Dine-in
SQ-20260105,2026-01-27 15:18:00,Veggie Wrap,Sandwich,1,36.00,36.00,Google Pay,,Yael,4.32,,Dine-in
SQ-20260106,2026-01-28 04:28:00,Avocado Toast,Breakfast,1,42.00,42.00,Bit,,Yael,4.20,,Dine-in
SQ-20260107,2026-01-28 17:55:00,Cold Brew,Coffee,3,20.00,60.00,Cash,,Yael,0.00,,Takeaway
SQ-20260108,2026-01-29 06:02:00,Croissant Chocolate,Pastry,2,16.00,32.00,Bit,,Shira,3.84,,Dine-in
SQ-20260109,2026-01-29 19:31:00,Americano,Coffee,1,14.00,14.00,Google Pay,,Tomer,0.00,,Takeaway
SQ-20260110,2026-01-30 08:06:00,Shakshuka,Breakfast,3,52.00,156.00,Credit Card,Amex,Yael,7.80,,Dine-in
SQ-20260111,2026-01-30 21:04:00,Israeli Breakfast,Breakfast,2,68.00,136.00,Cash,,Tomer,0.00,,Takeaway
SQ-20260112,2026-01-01 10:41:00,Cappuccino,Coffee,2,16.00,32.00,Apple Pay,,Shira,0.00,,Takeaway
SQ-20260113,2026-01-01 23:55:00,Avocado Toast,Breakfast,1,42.00,42.00,Credit Card,Visa,Tomer,5.04,,Dine-in
SQ-20260114,2026-01-02 12:47:00,Cappuccino,Coffee,1,16.00,16.00,Credit Card,Amex,Tomer,0.00,,Dine-in
SQ-20260115,2026-01-03 01:57:00,Espresso,Coffee,1,12.00,12.00,Credit Card,Mastercard,Tomer,0.00,,Dine-in
SQ-20260116,2026-01-03 14:33:00,Muffin Blueberry,Pastry,1,14.00,14.00,Credit Card,Visa,Yael,0.00,,Takeaway
SQ-20260117,2026-01-04 03:39:00,Cheese Sandwich,Sandwich,1,32.00,32.00,Google Pay,,Yael,0.00,,Dine-in
SQ-20260118,2026-01-04 16:29:00,Macchiato,Coffee,2,14.00,28.00,Bit,,Tomer,3.36,,Dine-in
SQ-20260119,2026-01-05 05:28:00,Scone,Pastry,3,12.00,36.00,Cash,,Tomer,0.00,,Dine-in
SQ-20260120,2026-01-05 18:29:00,Fresh OJ,Drink,1,18.00,18.00,Bit,,Shira,0.00,,Takeaway
SQ-20260121,2026-01-06 07:22:00,Granola Bowl,Breakfast,1,38.00,38.00,Cash,,Ruby,0.00,,Takeaway
SQ-20260122,2026-01-06 20:17:00,Espresso,Coffee,1,12.00,12.00,Credit Card,Isracard,Tomer,0.60,,Dine-in
SQ-20260123,2026-01-07 09:49:00,Caesar Salad,Salad,1,46.00,46.00,Bit,,Yael,5.52,,Dine-in
SQ-20260124,2026-01-07 22:43:00,Salad Bowl,Salad,2,48.00,96.00,Credit Card,Amex,Ruby,11.52,,Dine-in
SQ-20260125,2026-01-08 11:50:00,Banana Bread,Pastry,1,18.00,18.00,Bit,,Tomer,0.00,CUST-1151,Dine-in
SQ-20260126,2026-01-09 00:47:00,Muffin Blueberry,Pastry,1,14.00,14.00,Credit Card,Isracard,Tomer,1.40,,Dine-in
SQ-20260127,2026-01-09 13:53:00,Flat White,Coffee,1,18.00,18.00,Bit,,Tomer,2.16,,Dine-in
SQ-20260128,2026-01-10 02:29:00,Cappuccino,Coffee,1,16.00,16.00,Cash,,Tomer,0.00,,Takeaway
SQ-20260129,2026-01-10 15:54:00,Caesar Salad,Salad,1,46.00,46.00,Credit Card,Mastercard,Ruby,0.00,,Takeaway
SQ-20260130,2026-01-11 04:23:00,Cheese Sandwich,Sandwich,2,32.00,64.00,Cash,,Yael,0.00,,Dine-in
SQ-20260131,2026-01-11 17:06:00,Cheese Sandwich,Sandwich,1,32.00,32.00,Credit Card,Isracard,Yael,0.00,,Dine-in
SQ-20260132,2026-01-12 06:41:00,Cappuccino,Coffee,2,16.00,32.00,Bit,,Tomer,0.00,,Dine-in
SQ-20260133,2026-01-12 19:08:00,Americano,Coffee,3,14.00,42.00,Cash,,Shira,0.00,CUST-1120,Takeaway
SQ-20260134,2026-01-13 08:08:00,Cookie,Pastry,1,10.00,10.00,Apple Pay,,Shira,1.00,,Dine-in
SQ-20260135,2026-01-13 21:56:00,Muffin Blueberry,Pastry,2,14.00,28.00,Bit,,Yael,1.40,,Dine-in
SQ-20260136,2026-01-14 10:02:00,Halloumi Sandwich,Sandwich,1,38.00,38.00,Bit,,Shira,0.00,,Dine-in
SQ-20260137,2026-01-14 23:43:00,Scone,Pastry,1,12.00,12.00,Bit,,Ruby,0.60,,Dine-in
SQ-20260138,2026-01-15 13:00:00,Fresh OJ,Drink,2,18.00,36.00,Credit Card,Amex,Yael,4.32,,Dine-in
SQ-20260139,2026-01-16 01:03:00,Caesar Salad,Salad,1,46.00,46.00,Credit Card,Isracard,Yael,0.00,,Takeaway
SQ-20260140,2026-01-16 14:13:00,Granola Bowl,Breakfast,1,38.00,38.00,Cash,,Tomer,0.00,,Takeaway
SQ-20260141,2026-01-17 03:00:00,Macchiato,Coffee,3,14.00,42.00,Credit Card,Visa,Yael,0.00,,Dine-in
SQ-20260142,2026-01-17 16:42:00,Fresh OJ,Drink,1,18.00,18.00,Credit Card,Mastercard,Yael,1.80,,Dine-in
SQ-20260143,2026-01-18 05:16:00,Americano,Coffee,1,14.00,14.00,Bit,,Yael,0.00,,Takeaway
SQ-20260144,2026-01-18 18:28:00,Salad Bowl,Salad,1,48.00,48.00,Google Pay,,Ruby,2.40,,Takeaway
SQ-20260145,2026-01-19 07:02:00,Veggie Wrap,Sandwich,2,36.00,72.00,Apple Pay,,Tomer,3.60,,Dine-in
SQ-20260146,2026-01-19 20:03:00,Israeli Breakfast,Breakfast,2,68.00,136.00,Bit,,Tomer,0.00,,Takeaway
SQ-20260147,2026-01-20 09:04:00,Lemonade,Drink,1,14.00,14.00,Google Pay,,Yael,0.00,CUST-1319,Takeaway
SQ-20260148,2026-01-20 22:35:00,Halloumi Sandwich,Sandwich,1,38.00,38.00,Google Pay,,Yael,0.00,,Takeaway
SQ-20260149,2026-01-21 11:27:00,Hafuch,Coffee,2,16.00,32.00,Credit Card,Amex,Tomer,3.20,,Dine-in
SQ-20260150,2026-01-22 00:27:00,Banana Bread,Pastry,3,18.00,54.00,Bit,,Tomer,2.70,,Dine-in
SQ-20260151,2026-01-22 13:20:00,Muffin Blueberry,Pastry,1,14.00,14.00,Cash,,Tomer,0.00,,Takeaway
SQ-20260152,2026-01-23 02:04:00,Cappuccino,Coffee,2,16.00,32.00,Credit Card,Mastercard,Ruby,3.84,,Dine-in
SQ-20260153,2026-01-23 15:35:00,Americano,Coffee,2,14.00,28.00,Apple Pay,,Yael,0.00,,Takeaway
SQ-20260154,2026-01-24 04:22:00,Fresh OJ,Drink,2,18.00,36.00,Bit,,Tomer,0.00,,Takeaway
SQ-20260155,2026-01-24 17:19:00,Scone,Pastry,1,12.00,12.00,Apple Pay,,Yael,0.00,,Dine-in
SQ-20260156,2026-01-25 06:54:00,Hafuch,Coffee,1,16.00,16.00,Apple Pay,,Tomer,0.00,,Takeaway
SQ-20260157,2026-01-25 19:14:00,Caesar Salad,Salad,1,46.00,46.00,Apple Pay,,Yael,4.60,,Takeaway
SQ-20260158,2026-01-26 08:01:00,Yogurt Parfait,Breakfast,3,32.00,96.00,Cash,,Ruby,0.00,,Dine-in
SQ-20260159,2026-01-26 21:58:00,Croissant Chocolate,Pastry,1,16.00,16.00,Credit Card,Visa,Yael,1.92,,Dine-in
SQ-20260160,2026-01-27 10:47:00,Tuna Sandwich,Sandwich,3,36.00,108.00,Credit Card,Amex,Yael,0.00,,Takeaway
SQ-20260161,2026-01-27 23:21:00,Flat White,Coffee,1,18.00,18.00,Bit,,Yael,1.80,CUST-1026,Dine-in
SQ-20260162,2026-01-28 12:10:00,Salad Bowl,Salad,2,48.00,96.00,Credit Card,Mastercard,Shira,11.52,,Takeaway
SQ-20260163,2026-01-29 01:28:00,Muffin Blueberry,Pastry,1,14.00,14.00,Apple Pay,,Ruby,0.00,,Dine-in
SQ-20260164,2026-01-29 14:43:00,Cheese Sandwich,Sandwich,2,32.00,64.00,Apple Pay,,Tomer,0.00,CUST-1202,Takeaway
SQ-20260165,2026-01-30 03:03:00,Espresso,Coffee,1,12.00,12.00,Cash,,Yael,0.00,,Dine-in
SQ-20260166,2026-01-30 16:20:00,Hafuch,Coffee,1,16.00,16.00,Bit,,Yael,0.00,,Dine-in
SQ-20260167,2026-01-31 05:32:00,Avocado Toast,Breakfast,2,42.00,84.00,Bit,,Ruby,4.20,,Dine-in
SQ-20260168,2026-01-01 18:27:00,Espresso,Coffee,1,12.00,12.00,Credit Card,Mastercard,Yael,0.60,,Takeaway
SQ-20260169,2026-01-02 07:18:00,Hafuch,Coffee,1,16.00,16.00,Bit,,Yael,1.60,,Dine-in
SQ-20260170,2026-01-02 20:05:00,Muffin Blueberry,Pastry,2,14.00,28.00,Cash,,Shira,0.00,,Takeaway
SQ-20260171,2026-01-03 09:05:00,Cookie,Pastry,3,10.00,30.00,Bit,,Yael,0.00,,Dine-in
SQ-20260172,2026-01-03 22:32:00,Tuna Sandwich,Sandwich,1,36.00,36.00,Apple Pay,,Yael,0.00,,Dine-in
SQ-20260173,2026-01-04 11:15:00,Hafuch,Coffee,1,16.00,16.00,Cash,,Yael,0.00,,Dine-in
SQ-20260174,2026-01-05 00:11:00,Salad Bowl,Salad,2,48.00,96.00,Bit,,Yael,9.60,,Takeaway
SQ-20260175,2026-01-05 13:41:00,Tuna Sandwich,Sandwich,3,36.00,108.00,Bit,,Tomer,0.00,CUST-1034,Takeaway
SQ-20260176,2026-01-06 02:28:00,Tuna Sandwich,Sandwich,1,36.00,36.00,Cash,,Yael,0.00,CUST-1259,Dine-in
SQ-20260177,2026-01-06 15:19:00,Banana Bread,Pastry,1,18.00,18.00,Credit Card,Mastercard,Tomer,0.00,,Dine-in
SQ-20260178,2026-01-07 04:39:00,Yogurt Parfait,Breakfast,1,32.00,32.00,Bit,,Yael,3.20,,Dine-in
SQ-20260179,2026-01-07 17:28:00,Beer (Tap),Drink,2,28.00,56.00,Cash,,Tomer,0.00,,Takeaway
SQ-20260180,2026-01-08 06:09:00,Americano,Coffee,1,14.00,14.00,Bit,,Tomer,0.00,,Dine-in
SQ-20260181,2026-01-08 19:02:00,Iced Latte,Coffee,2,20.00,40.00,Bit,,Yael,4.00,,Dine-in
SQ-20260182,2026-01-09 08:23:00,Beer (Tap),Drink,1,28.00,28.00,Bit,,Tomer,3.36,,Dine-in
SQ-20260183,2026-01-09 21:04:00,Croissant Chocolate,Pastry,1,16.00,16.00,Bit,,Tomer,0.00,,Takeaway
SQ-20260184,2026-01-10 10:55:00,Latte,Coffee,1,18.00,18.00,Google Pay,,Tomer,0.00,,Dine-in
SQ-20260185,2026-01-10 23:41:00,Halloumi Sandwich,Sandwich,2,38.00,76.00,Credit Card,Isracard,Tomer,0.00,,Takeaway
SQ-20260186,2026-01-11 12:41:00,Caesar Salad,Salad,1,46.00,46.00,Credit Card,Amex,Tomer,5.52,,Takeaway
SQ-20260187,2026-01-12 01:05:00,Tuna Sandwich,Sandwich,2,36.00,72.00,Apple Pay,,Tomer,0.00,,Dine-in
SQ-20260188,2026-01-12 15:00:00,Cold Brew,Coffee,1,20.00,20.00,Bit,,Yael,0.00,,Dine-in
SQ-20260189,2026-01-13 03:04:00,Croissant Plain,Pastry,2,14.00,28.00,Credit Card,Isracard,Yael,3.36,,Dine-in
SQ-20260190,2026-01-13 16:42:00,Croissant Chocolate,Pastry,3,16.00,48.00,Google Pay,,Yael,4.80,,Dine-in
SQ-20260191,2026-01-14 05:11:00,Water Bottle,Drink,2,8.00,16.00,Google Pay,,Yael,1.92,,Takeaway
SQ-20260192,2026-01-14 18:23:00,Cheese Sandwich,Sandwich,2,32.00,64.00,Bit,,Yael,0.00,,Takeaway
SQ-20260193,2026-01-15 07:14:00,Avocado Toast,Breakfast,1,42.00,42.00,Bit,,Yael,0.00,,Takeaway
SQ-20260194,2026-01-15 20:28:00,Banana Bread,Pastry,2,18.00,36.00,Bit,,Yael,3.60,,Dine-in
SQ-20260195,2026-01-16 09:52:00,Cold Brew,Coffee,2,20.00,40.00,Credit Card,Mastercard,Ruby,4.80,,Dine-in
SQ-20260196,2026-01-16 22:35:00,Beer (Tap),Drink,1,28.00,28.00,Apple Pay,,Ruby,0.00,CUST-1082,Dine-in
SQ-20260197,2026-01-17 11:28:00,Lemonade,Drink,1,14.00,14.00,Bit,,Ruby,0.00,,Dine-in
SQ-20260198,2026-01-18 00:59:00,Espresso,Coffee,1,12.00,12.00,Bit,,Yael,0.00,,Dine-in
SQ-20260199,2026-01-18 13:23:00,Iced Latte,Coffee,1,20.00,20.00,Credit Card,Amex,Tomer,0.00,,Dine-in
SQ-20260200,2026-01-19 02:02:00,Croissant Plain,Pastry,3,14.00,42.00,Bit,,Tomer,0.00,,Takeaway
SQ-20260201,2026-01-19 15:28:00,Yogurt Parfait,Breakfast,1,32.00,32.00,Credit Card,Visa,Tomer,0.00,,Takeaway
SQ-20260202,2026-01-20 05:00:00,Veggie Wrap,Sandwich,2,36.00,72.00,Bit,,Ruby,0.00,,Dine-in
SQ-20260203,2026-01-20 17:03:00,Iced Latte,Coffee,1,20.00,20.00,Google Pay,,Shira,0.00,CUST-1255,Takeaway
SQ-20260204,2026-01-21 06:34:00,Espresso,Coffee,2,12.00,24.00,Google Pay,,Yael,2.88,CUST-1219,Dine-in
SQ-20260205,2026-01-21 19:39:00,Scone,Pastry,1,12.00,12.00,Bit,,Yael,1.44,,Takeaway
SQ-20260206,2026-01-22 08:23:00,Cappuccino,Coffee,3,16.00,48.00,Apple Pay,,Yael,4.80,,Takeaway
